,movie_title,cluster_KMeans,tsne-2d-one,tsne-2d-two
601,Battle Los Angeles,3,-10.260535,-5.5140696
602,Big Fish,9,-0.039752133,0.07957394
603,Wolf,4,1.9216228,-7.3345985
604,War Horse,14,7.084296,-2.755772
605,The Monuments Men,14,7.084345,-2.756311
607,Wall Street: Money Never Sleeps,14,6.4565063,-0.09317502
608,Dracula Untold,4,3.3283608,-2.8454545
609,The Siege,13,-5.501639,-6.558772
610,Stardust,5,-12.526408,0.48207748
611,Seven Years in Tibet,10,14.200123,-3.9565113
612,The Dilemma,12,4.0708075,8.186978
613,Bad Company,13,-5.796711,-3.81764
614,Doom,3,-11.405355,-5.1087537
615,I Spy,13,-5.7397113,-3.352623
616,Underworld: Awakening,6,-7.11369,-11.829168
617,Rock of Ages,11,8.107228,11.885083
618,Hart's War,14,7.084403,-2.756304
619,Killer Elite,13,-1.3486228,-7.539598
620,Rollerball,3,-10.023722,-4.8972416
621,Ballistic: Ecks vs. Sever,13,-2.6132848,-6.4379253
622,Hard Rain,1,1.3779314,-11.644377
625,Blackhat,1,3.2280242,-12.66704
626,Sky Captain and the World of Tomorrow,3,-10.094343,-7.2699404
627,Basic Instinct 2,1,2.452691,-14.763522
628,Escape Plan,13,-3.699015,-6.561567
629,The Legend of Hercules,3,-10.751777,-1.6004475
630,The Sum of All Fears,4,1.5110022,-4.9607577
631,The Twilight Saga: Eclipse,2,7.8520555,7.0519443
632,The Score,7,8.8598175,-10.302612
633,Despicable Me,5,-13.471642,6.698554
634,Money Train,1,1.7103186,-9.568618
635,Ted 2,8,-5.8244877,6.30929
636,Agora,2,10.869699,9.329493
637,Mystery Men,9,-8.110266,0.5705507
638,Hall Pass,0,-4.83097,13.590436
639,The Insider,10,12.997983,-5.9970746
641,Body of Lies,4,1.5104804,-4.9605308
643,Abraham Lincoln: Vampire Hunter,6,-7.0550027,-11.861111
644,Entrapment,13,-1.4657432,-6.346921
646,The X Files,1,3.8023858,-8.391602
647,The Last Legion,3,-10.747772,-1.6575831
648,Saving Private Ryan,4,3.0718393,-3.0613775
649,Need for Speed,1,1.4268981,-11.726658
650,What Women Want,0,-6.936791,10.601548
651,Ice Age,5,-14.745121,4.9856772
652,Dreamcatcher,4,2.9480011,-7.179113
653,Lincoln,10,14.246403,-3.9356914
654,The Matrix,3,-10.370249,-5.03826
655,Apollo 13,14,9.205117,-0.96421146
657,The Santa Clause 2,5,-10.697797,7.036196
658,Les Misérables,2,12.646805,5.275924
659,You've Got Mail,11,4.630937,13.589042
660,Step Brothers,8,-2.9843512,7.8279147
662,Due Date,12,1.8045279,6.785332
663,Unbroken,10,14.033172,-0.43623057
664,Space Cowboys,13,-6.740858,-4.850365
665,Cliffhanger,13,-6.7762804,-4.881403
666,Broken Arrow,13,-2.3699343,-6.75
667,The Kid,5,-10.699023,7.036893
668,World Trade Center,4,6.578356,-5.1029506
669,Mona Lisa Smile,14,8.210137,1.018927
670,The Dictator,0,-4.722727,12.625605
671,Eyes Wide Shut,1,4.475505,-10.472478
672,Annie,12,-1.179285,8.052581
673,Focus,11,6.287252,13.0394745
674,This Means War,0,-1.4125987,12.347523
677,Primary Colors,12,1.8070608,6.784423
678,Resident Evil: Retribution,6,-8.325606,-9.729034
679,Death Race,13,-7.950417,-7.5069637
680,The Long Kiss Goodnight,1,3.2280633,-12.666262
681,Proof of Life,4,1.1515077,-4.803445
683,Fight Club,14,6.4994187,-0.1018415
684,We Are Marshall,10,10.743309,0.88265985
686,Hudson Hawk,9,-6.934947,-0.94773114
687,Lucky Numbers,9,-1.9074281,1.0794353
688,"I, Frankenstein",3,-8.670911,-7.4079614
689,Oliver Twist,7,10.049173,-5.452369
690,Elektra,13,-2.5588086,-5.9297285
691,Sin City: A Dame to Kill For,13,-2.3709362,-6.7492385
692,Random Hearts,2,10.036563,4.6548543
694,Perfume: The Story of a Murderer,7,10.217269,-5.6612844
695,Austin Powers in Goldmember,9,-4.13082,-0.25232655
696,Astro Boy,5,-14.191221,7.1273775
697,Jurassic Park,3,-11.090862,-8.878646
698,Wyatt Earp,10,10.698725,-4.096236
699,Clear and Present Danger,1,1.0550244,-9.283754
700,Dragon Blade,4,1.438325,-1.9527762
701,Littleman,9,-2.5708714,1.4684362
702,U-571,4,2.9591465,-3.1637301
703,The American President,11,4.626178,13.588424
704,The Love Guru,0,-6.800442,12.99703
705,3000 Miles to Graceland,9,-2.9192157,-3.1343586
706,The Hateful Eight,1,4.725786,-13.819925
707,Blades of Glory,8,-6.785377,7.351321
708,Hop,5,-14.072477,3.0652463
709,300,4,3.1351352,-3.0307646
710,Meet the Fockers,0,-4.722144,12.625698
711,Marley & Me,12,-0.7109408,6.8783402
712,The Green Mile,7,10.747855,-6.8359265
714,Chicken Little,5,-13.365377,4.5969753
715,Gone Girl,1,4.7304463,-13.747999
716,The Bourne Identity,13,-6.3135533,-7.5991855
717,GoldenEye,13,-6.0034394,-4.6233883
718,The General's Daughter,1,4.506197,-11.919522
719,The Truman Show,12,0.72369534,5.405135
721,Daddy Day Care,8,-9.302513,7.647096
722,2 Guns,1,1.856194,-8.980462
723,Cats & Dogs,5,-11.016776,7.848489
724,The Italian Job,13,-1.4691445,-7.5696573
725,Two Weeks Notice,0,-1.2031869,15.865552
726,Antz,5,-14.504721,5.1540117
727,Couples Retreat,8,-5.6908374,6.399115
728,Days of Thunder,10,10.34333,0.64438146
729,Cheaper by the Dozen 2,5,-11.701319,4.347831
730,The Scorch Trials,3,-8.854301,-7.4465327
731,Eat Pray Love,2,11.314238,5.9465523
732,The Family Man,11,5.9161863,10.83241
733,RED,13,-2.9474535,-3.6628463
734,Any Given Sunday,10,10.743325,0.8826694
735,The Horse Whisperer,2,11.275092,4.631639
736,Collateral,7,8.857541,-10.301713
737,The Scorpion King,3,-8.189685,-4.5884476
738,Ladder 49,4,0.34762004,-4.8488345
739,Jack Reacher,13,-3.1320825,-8.434028
740,Deep Blue Sea,3,-8.481133,-7.579091
741,This Is It,9,0.2661757,2.0476654
742,Contagion,4,5.2727885,-6.036607
743,Kangaroo Jack,9,-5.030411,-1.2306426
744,Coraline,5,-14.377496,1.5022895
745,The Happening,13,-7.603199,-8.853024
746,Man on Fire,1,1.4278948,-11.727144
747,The Shaggy Dog,5,-10.959564,7.636283
748,Starsky & Hutch,9,-3.4943974,1.393856
749,Jingle All the Way,8,-9.302058,7.6464944
750,Hellboy,6,-8.591599,-10.691077
751,A Civil Action,14,7.9527683,0.3872391
752,ParaNorman,5,-14.074281,3.064804
753,The Jackal,13,-3.5586174,-5.283579
754,Paycheck,13,-7.082987,-7.7434134
755,Up Close & Personal,2,11.31356,5.9462104
756,The Tale of Despereaux,5,-14.072688,3.0642476
758,The Tuxedo,9,-8.01509,0.279161
759,Under Siege 2: Dark Territory,13,-5.4992285,-6.5588007
760,Jack Ryan: Shadow Recruit,4,0.89087707,-4.930076
761,Joy,12,3.1384785,5.36943
762,London Has Fallen,1,1.1287831,-9.840907
763,Alien: Resurrection,6,-9.423496,-9.834491
764,Shooter,1,3.2304451,-12.667575
765,The Boxtrolls,5,-14.072743,3.0641887
766,Practical Magic,11,7.057905,11.164193
768,Miss Congeniality 2: Armed and Fabulous,9,-3.2442343,-0.4958426
769,Reign of Fire,3,-12.191686,-7.607117
770,Gangster Squad,1,1.427559,-11.726727
771,Year One,8,-7.4022293,2.916584
772,Invictus,10,14.812263,-1.0430311
774,Duplicity,9,-1.712725,-1.8882303
775,My Favorite Martian,5,-9.567886,2.267919
776,The Sentinel,13,-1.7988777,-7.024481
777,Planet 51,5,-13.466685,4.6186714
778,Star Trek: Nemesis,3,-10.790918,-7.5573063
779,Intolerable Cruelty,0,-3.6761358,10.313545
781,Edge of Darkness,1,5.7835493,-12.865228
782,The Relic,6,-1.9546778,-15.018243
783,Analyze That,9,-3.354107,1.5541668
784,Righteous Kill,1,3.228652,-12.666004
785,Mercury Rising,1,0.3513417,-9.463921
786,The Soloist,10,12.313486,-1.2103485
787,The Legend of Bagger Vance,10,10.632402,0.77323985
788,Almost Famous,12,4.191097,5.4335575
790,xXx: State of the Union,13,-3.61951,-5.300059
791,Priest,6,-8.272101,-9.902968
793,Event Horizon,6,-7.4138494,-10.442112
795,Dragonfly,7,5.5270634,-9.594903
796,The Black Dahlia,1,6.34282,-12.537419
798,The Last Castle,4,1.1506121,-4.8036222
799,Supernova,6,-7.414192,-10.442558
800,Winter's Tale,2,9.228364,7.2909327
801,The Mortal Instruments: City of Bones,6,-5.238506,-13.47345
802,Meet Dave,5,-10.084897,2.2218535
803,Dark Water,6,-2.1928785,-11.508636
804,Edtv,12,1.8139113,6.791398
805,Inkheart,5,-12.71482,0.6469522
806,The Spirit,13,-2.462497,-6.0357237
807,Mortdecai,0,-5.4211144,11.26536
808,In the Name of the King: A Dungeon Siege Tale,3,-8.186767,-4.588093
809,Beyond Borders,2,10.390551,3.662722
811,The Great Raid,4,3.0708587,-3.0623844
812,Deadpool,3,-13.082531,-3.1302626
813,Holy Man,12,1.8142799,6.7951713
815,Goosebumps,5,-12.119474,2.8231606
817,Just Like Heaven,0,-6.9621572,10.5597315
818,The Flintstones in Viva Rock Vegas,0,-1.4241308,16.41367
820,Leatherheads,11,6.453727,15.151375
822,Did You Hear About the Morgans?,11,5.0262427,14.392363
823,The Internship,8,-5.3633714,4.7978415
824,Resident Evil: Afterlife,3,-11.586537,-4.90595
825,Red Tails,4,1.7826492,-2.0779457
827,The Devil's Advocate,1,4.6527314,-10.536086
828,That's My Boy,8,-5.359785,4.769496
829,DragonHeart,3,-10.401197,-1.7434161
830,After the Sunset,9,-3.0512092,-0.5116681
831,Ghost Rider: Spirit of Vengeance,13,-6.2259974,-6.725107
832,Captain Corelli's Mandolin,2,11.850475,9.384588
834,The Pacifier,4,0.15298554,-4.79549
835,Walking Tall,13,-2.551455,-5.395264
836,Forrest Gump,12,3.6052215,7.898793
837,Alvin and the Chipmunks,5,-12.106457,6.378893
838,Meet the Parents,8,-3.4425762,4.486056
841,The Nutty Professor,0,-5.3704205,13.944273
842,Hitch,0,-1.252802,12.159128
843,George of the Jungle,0,-10.042287,10.531431
844,American Wedding,0,-1.8584572,13.580243
845,Captain Phillips,10,13.001393,-5.9978795
846,Date Night,9,-1.712432,-1.8876638
847,Casper,5,-10.524271,7.1910424
848,The Equalizer,13,-2.3682613,-6.7477765
849,Maid in Manhattan,11,4.629168,13.592398
850,Crimson Tide,4,2.3196821,-4.1239643
851,The Pursuit of Happyness,10,13.068358,-2.2813907
852,Flightplan,1,4.520485,-10.491329
853,Disclosure,4,5.382804,-5.8642454
854,City of Angels,2,9.158436,7.528545
855,Kill Bill: Vol. 1,3,-7.3638544,-2.8293624
856,Bowfinger,8,-5.3555145,4.77223
858,Kill Bill: Vol. 2,1,1.6222861,-10.402614
860,Death Becomes Her,8,-8.292067,4.2959833
861,Shanghai Noon,9,-7.3340836,-1.2464536
862,Executive Decision,13,-6.7390704,-4.8492446
863,Mr. Popper's Penguins,5,-10.697184,7.035585
864,The Forbidden Kingdom,3,-10.400738,-1.7428524
865,Free Birds,5,-14.202007,5.0688767
866,Alien 3,6,-9.508127,-9.898147
867,Evita,10,15.173123,-2.9164567
868,Ronin,13,-3.618437,-5.2988315
869,The Ghost and the Darkness,4,2.0400229,-7.2393775
870,Paddington,5,-12.191041,6.3808794
871,The Watch,9,-8.641544,0.38938254
872,The Hunted,1,0.35353777,-9.31999
873,Instinct,4,5.7423673,-6.641846
874,Stuck on You,8,-5.376288,4.7896285
875,Semi-Pro,8,-6.7461534,7.364385
876,The Pirates! Band of Misfits,5,-14.744895,4.9853616
877,Changeling,1,6.0042863,-14.02735
878,Chain Reaction,4,1.132161,-5.701942
879,The Fan,4,0.91820586,-4.817132
880,The Phantom of the Opera,2,12.8355465,5.0573697
881,Elizabeth: The Golden Age,10,14.245984,-3.9357514
882,Æon Flux,3,-10.099474,-4.9825177
883,Gods and Generals,14,9.021685,-2.6758132
884,Turbulence,13,-5.500617,-6.5609155
885,Imagine That,12,-1.5091103,7.7970405
886,Muppets Most Wanted,5,-11.686952,4.294627
887,Thunderbirds,3,-14.019746,-2.7949362
888,Burlesque,2,13.661387,5.7695823
889,A Very Long Engagement,2,9.965306,4.3602705
892,Blade II,6,-8.324764,-9.728562
893,Seven Pounds,2,7.933446,5.3822556
894,Bullet to the Head,13,-5.466593,-6.531492
895,The Godfather: Part III,7,10.143914,-5.603229
896,Elizabethtown,11,4.626536,13.592261
897,"You, Me and Dupree",0,-1.7123976,13.689406
899,Gigli,0,-3.62633,10.167356
900,All the King's Men,4,5.4251223,-5.0774198
901,Shaft,13,-2.3593233,-7.003093
903,Moulin Rouge!,2,12.59417,5.317642
904,Domestic Disturbance,1,1.8564334,-14.874958
905,Black Mass,10,11.905954,-4.729648
906,Flags of Our Fathers,14,9.020369,-2.6752045
907,Law Abiding Citizen,7,8.858376,-10.303198
908,Grindhouse,6,-6.251646,-9.60645
909,Beloved,14,9.177602,-0.9744074
910,Lucky You,2,11.891317,2.8961089
911,Catch Me If You Can,10,11.90579,-4.729947
912,Zero Dark Thirty,4,6.2563996,-4.781638
913,The Break-Up,11,4.625335,13.592996
914,Mamma Mia!,0,-3.8213122,14.964142
915,Valentine's Day,0,-4.72184,12.626101
916,The Dukes of Hazzard,9,-7.0240827,-1.0396734
917,The Thin Red Line,14,7.626924,-2.687476
918,The Change-Up,8,-8.593488,5.355082
919,Man on the Moon,12,3.138081,5.370131
920,Casino,10,11.829918,-4.285117
921,From Paris with Love,13,-5.0073905,-5.5255775
922,Bulletproof Monk,9,-7.363963,0.62988496
923,"Me, Myself & Irene",8,-3.4989045,4.3597593
924,Barnyard,5,-13.472148,6.697767
926,The Twilight Saga: New Moon,2,8.613429,7.4159064
927,Shrek,5,-14.072416,3.065399
928,The Adjustment Bureau,4,1.6485884,-3.5520883
929,Robin Hood: Prince of Thieves,4,0.75118077,-1.1048054
930,Jerry Maguire,11,6.5092835,15.104701
931,Ted,8,-8.792467,5.0192924
932,As Good as It Gets,11,2.9260528,11.101267
933,Patch Adams,11,5.778214,13.385782
934,Anchorman 2: The Legend Continues,8,-3.442716,4.486042
935,Mr. Deeds,0,-4.722636,12.625441
936,Super 8,1,-0.42560205,-14.114962
937,Erin Brockovich,10,13.067937,-2.2810748
938,How to Lose a Guy in 10 Days,0,-3.1815174,13.153234
939,22 Jump Street,9,-4.0728564,-0.32379714
940,Interview with the Vampire: The Vampire Chronicles,4,3.1910546,-1.190963
941,Yes Man,0,-1.3547727,12.511018
942,Central Intelligence,9,-4.035537,-0.63049793
943,Stepmom,12,1.804628,6.7787037
944,Daddy's Home,8,-9.30163,7.646208
945,Into the Woods,12,-0.39737016,4.657198
946,Inside Man,1,6.0056605,-14.028438
947,Payback,1,1.1316597,-9.843038
948,Congo,3,-13.3291,-4.660927
950,Knowing,1,3.996858,-8.679377
951,Failure to Launch,0,-1.3812879,12.542175
953,"Crazy, Stupid, Love.",11,2.3958378,11.895744
954,Garfield,5,-11.929118,6.9060364
955,Christmas with the Kranks,8,-9.302707,7.6457458
956,Moneyball,10,13.8358965,0.11942913
957,Outbreak,4,0.8886406,-4.9301777
958,Non-Stop,13,-5.75441,-7.581657
960,V for Vendetta,4,0.8883565,-4.930873
961,Shanghai Knights,9,-6.9217443,-0.97866213
963,Curious George,5,-14.744518,4.985493
965,Don't Say a Word,1,5.7873716,-12.86363
966,Hansel & Gretel: Witch Hunters,6,-6.9453683,-12.1410265
967,Unfaithful,7,5.858534,-6.7233605
968,I Am Number Four,3,-10.626619,-8.3344965
969,Syriana,4,5.4221487,-5.0770493
970,13 Hours,4,2.0981715,-4.4034243
972,Firewall,13,-1.4481957,-9.9264145
973,Absolute Power,1,1.991302,-10.591336
974,G.I. Jane,4,3.0709543,-3.0627394
975,The Game,1,4.52057,-10.492075
976,Silent Hill,6,-5.176183,-15.079576
977,The Replacements,8,-6.745687,7.363913
978,American Reunion,8,-4.9938264,7.9807563
979,The Negotiator,1,3.8159337,-13.74918
980,Into the Storm,13,-5.4416065,-6.5252852
981,Beverly Hills Cop III,9,-2.4827735,-3.1197095
982,Gremlins 2: The New Batch,8,-8.314816,4.3054123
983,The Judge,7,10.340621,-5.978264
984,The Peacemaker,13,-5.500904,-6.560935
985,Resident Evil: Apocalypse,6,-8.326118,-9.730712
986,Bridget Jones: The Edge of Reason,11,6.2122436,13.474654
987,Out of Time,7,8.189288,-8.817122
988,On Deadly Ground,13,-6.741852,-4.9286795
989,The Adventures of Sharkboy and Lavagirl 3-D,3,-11.690598,-1.0358015
990,The Beach,4,4.451381,-4.8017387
991,Raising Helen,11,8.152057,11.868125
992,Ninja Assassin,13,-2.3690336,-6.7505827
993,For Love of the Game,2,11.891329,2.8995912
995,Striptease,7,7.142616,-8.669567
996,Marmaduke,8,-9.976248,8.177839
997,Hereafter,14,4.707542,0.3804729
998,Murder by Numbers,1,2.2111344,-14.862444
999,Assassins,13,-2.3704667,-6.751109
1000,Hannibal Rising,7,7.864407,-10.503115
1001,The Story of Us,11,5.17995,15.929968
1002,The Host,3,-10.715538,-8.300515
1003,Basic,1,3.2284443,-12.666462
1004,Blood Work,1,3.706546,-13.342974
1005,The International,1,3.7064912,-13.342953
1006,Escape from L.A.,3,-11.105938,-6.920029
1009,The Life Aquatic with Steve Zissou,12,0.21214391,4.788092
1010,Free State of Jones,10,14.202691,-4.0250063
1011,The Life of David Gale,7,7.2535753,-10.381351
1012,Man of the House,9,-6.253559,0.42874044
1013,Run All Night,1,1.6233296,-10.403852
1014,Eastern Promises,1,1.7525766,-14.814643
1015,Into the Blue,13,-3.6164186,-5.2994747
1016,The Messenger: The Story of Joan of Arc,10,14.199806,-3.956317
1017,Your Highness,5,-10.075169,3.201074
1018,Dream House,1,4.51927,-10.496654
1019,Mad City,7,8.862662,-10.304994
1020,Baby's Day Out,12,3.0918908,3.4747105
1021,The Scarlet Letter,2,11.314386,5.945373
1022,Fair Game,10,13.342525,-5.877028
1024,Domino,1,0.3031921,-9.410186
1025,Jade,7,7.3448277,-10.282063
1026,Gamer,3,-8.663706,-7.27943
1027,Beautiful Creatures,2,9.222997,7.5719147
1028,Death to Smoochy,7,6.8667,-8.306665
1029,Zoolander 2,8,-5.3827205,4.815423
1030,The Big Bounce,9,-2.5713074,1.4707252
1031,What Planet Are You From?,5,-9.135097,1.9644685
1032,Drive Angry,13,-6.2228017,-6.728402
1033,Street Fighter: The Legend of Chun-Li,1,3.228712,-12.667278
1034,The One,13,-4.588487,-7.9260893
1038,Traffic,7,8.862395,-10.305626
1041,Chappie,4,0.031447902,-6.4810047
1042,The Bone Collector,1,6.005556,-14.028876
1043,Panic Room,7,8.088953,-9.590341
1045,Three Kings,4,2.0979533,-2.5371366
1046,Child 44,7,7.34447,-10.282034
1047,Rat Race,8,-7.35955,2.9393651
1048,K-PAX,4,4.7009745,-3.284273
1049,Kate & Leopold,0,-6.964518,10.555597
1050,Bedazzled,0,-6.96627,10.554339
1052,3:10 to Yuma,10,10.31788,-4.257593
1053,Taken 3,13,-5.4968615,-7.107194
1054,Out of Sight,7,8.189817,-8.815776
1055,The Cable Guy,12,4.528002,7.417299
1058,The Thomas Crown Affair,13,-1.3119544,-8.947114
1059,Riding in Cars with Boys,12,3.3386452,5.4712634
1062,Happily N'Ever After,5,-14.071066,3.0666692
1063,Mary Reilly,4,1.9208578,-7.3358836
1064,My Best Friend's Wedding,0,-1.4842163,13.477135
1065,America's Sweethearts,0,-1.2254018,15.808498
1066,Insomnia,1,4.8789935,-14.29183
1067,Star Trek: First Contact,4,-0.45043722,-4.1093745
1068,Jonah Hex,4,-0.19323225,-4.9521065
1069,Courage Under Fire,4,2.4024208,-4.2894034
1070,Liar Liar,0,-6.966369,10.554081
1073,The Flintstones,5,-10.698394,7.03432
1074,Taken 2,13,-1.4702097,-7.5693216
1075,Scary Movie 3,8,-5.3607345,4.8054504
1076,Miss Congeniality,9,-3.009392,-0.36805493
1077,Journey to the Center of the Earth,3,-12.189408,-2.1365762
1078,The Princess Diaries 2: Royal Engagement,0,-8.244923,11.935291
1079,The Pelican Brief,1,5.9224215,-12.892161
1080,The Client,1,5.834816,-13.033499
1081,The Bucket List,12,0.12797496,4.7657537
1082,Patriot Games,13,-5.007686,-5.5259786
1083,Monster-in-Law,0,-3.4914963,14.7668915
1084,Prisoners,1,6.0052342,-14.029059
1085,Training Day,7,8.862435,-10.304884
1086,Galaxy Quest,5,-9.517688,2.0016186
1087,Scary Movie 2,8,-5.3767433,4.8018036
1088,The Muppets,5,-11.657544,4.375625
1089,Blade,6,-7.691153,-12.342212
1090,Coach Carter,10,11.418685,1.2240852
1091,Changing Lanes,4,5.796873,-6.4607396
1092,Anaconda,13,-7.3435154,-5.6180315
1093,Coyote Ugly,11,4.6578035,11.2373905
1094,Love Actually,11,8.152341,11.867893
1095,A Bug's Life,5,-14.070513,3.0666637
1096,From Hell,6,-2.550402,-14.107062
1097,The Specialist,1,1.6444274,-9.253548
1098,Tin Cup,11,6.5109215,15.103415
1100,Kicking & Screaming,0,-7.820791,12.341924
1101,The Hitchhiker's Guide to the Galaxy,5,-9.623151,2.0508914
1102,Fat Albert,0,-8.365757,10.518452
1103,Resident Evil: Extinction,6,-8.324765,-9.7287035
1104,Blended,0,-4.721686,12.625395
1105,Last Holiday,12,0.21178691,4.7879157
1106,The River Wild,13,-3.6184642,-5.3004103
1107,The Indian in the Cupboard,14,5.749161,3.54354
1108,Savages,7,8.8611145,-10.304328
1109,Cellular,13,-3.1851206,-8.206402
1110,Johnny English,9,-7.019998,-1.0410244
1111,The Ant Bully,5,-14.071189,3.0675519
1113,Across the Universe,2,9.889694,9.63481
1114,Revolutionary Road,2,11.31441,5.9452457
1115,16 Blocks,1,1.1316117,-9.843978
1116,Babylon A.D.,3,-10.791469,-7.5585804
1117,The Glimmer Man,1,2.2825825,-10.404122
1118,Multiplicity,0,-5.3697176,13.946404
1119,Aliens in the Attic,5,-11.148307,2.6624596
1120,The Pledge,1,6.0053716,-14.029119
1121,The Producers,8,-6.303682,4.490094
1123,The Phantom,3,-9.485466,-0.776705
1124,All the Pretty Horses,2,12.541547,6.674245
1125,Nixon,10,15.101594,-2.9800823
1126,The Ghost Writer,1,-0.25410223,-14.89896
1127,Deep Rising,3,-11.586729,-4.904744
1128,Miracle at St. Anna,1,0.7971526,-9.772908
1129,Curse of the Golden Flower,2,11.314502,5.943761
1130,Bangkok Dangerous,13,-2.3707128,-6.7500057
1131,Big Trouble,9,-1.8694808,-0.8692984
1132,Love in the Time of Cholera,2,11.316151,9.549538
1134,Shadow Conspiracy,13,-5.4990606,-6.5604525
1135,Johnny English Reborn,9,-4.896913,-1.0683432
1137,Argo,10,13.881925,-5.4137635
1139,The Bounty Hunter,0,-5.444411,11.184304
1140,Sleepers,7,9.067895,-10.360295
1142,The Juror,4,5.2719545,-6.0362926
1145,Underworld: Evolution,3,-12.2868805,-7.7087846
1146,Victor Frankenstein,4,2.5594778,-6.8148394
1147,Finding Forrester,14,8.279591,1.1071206
1148,28 Days,12,0.9972574,8.197247
1149,Unleashed,1,1.0630326,-9.967968
1150,The Sweetest Thing,0,-3.4905236,14.766102
1151,The Firm,1,4.5818834,-10.616366
1152,Charlie St. Cloud,2,9.203279,8.072457
1153,The Mechanic,13,-2.3712065,-6.749572
1154,21 Jump Street,9,-4.242933,0.21187428
1155,Notting Hill,11,7.684529,10.734165
1156,Chicken Run,5,-15.250993,4.744579
1157,Along Came Polly,0,-1.35674,12.5098095
1158,Boomerang,11,3.9816394,12.862173
1159,The Heat,9,-3.2443552,-0.4963845
1161,Here Comes the Boom,8,-6.1433907,7.826215
1162,High Crimes,1,4.76172,-13.765639
1163,The Mirror Has Two Faces,11,5.181493,15.92875
1164,The Mothman Prophecies,1,-1.1055987,-12.521863
1165,Brüno,8,-5.3569903,4.8126693
1167,Red Riding Hood,6,-3.0681667,-13.146786
1168,15 Minutes,1,1.1301602,-9.841087
1169,Super Mario Bros.,5,-11.887745,2.7113814
1170,Lord of War,7,8.863826,-10.308795
1171,Hero,3,-8.642758,-2.989787
1172,One for the Money,9,-2.936095,-2.831792
1173,The Interview,8,-5.3603015,4.8159127
1174,The Warrior's Way,3,-7.9572735,-2.2654588
1176,Micmacs,9,-4.1669273,-0.53808653
1177,8 Mile,14,7.6651807,3.4174492
1179,A Knight's Tale,3,-8.944397,-2.5279396
1180,The Medallion,9,-7.361534,0.6351514
1181,The Sixth Sense,1,4.517903,-10.5005245
1182,Man on a Ledge,13,-3.184307,-8.206221
1183,The Big Year,8,-5.3758903,4.8183856
1185,American Hustle,7,10.610445,-5.9039903
1186,The Proposal,11,4.622923,13.592329
1187,Double Jeopardy,1,2.197002,-14.788848
1189,Lucy,3,-8.536427,-7.5836205
1190,Fifty Shades of Grey,2,11.314146,5.9445214
1191,Spy Kids 3-D: Game Over,3,-13.920836,-2.772108
1192,A Time to Kill,7,8.860588,-10.303125
1193,Cheaper by the Dozen,8,-9.303337,7.6449018
1194,Lone Survivor,4,2.423641,-4.174187
1195,A League of Their Own,12,4.7690797,7.550927
1196,The Conjuring 2,6,-2.5493808,-14.106437
1197,The Social Network,10,13.068503,-2.2817945
1198,He's Just Not That Into You,11,4.6226673,13.594165
1199,Scary Movie 4,8,-5.358673,4.8137937
1200,Scream 3,6,-4.946505,-15.588752
1201,Back to the Future Part III,8,-8.635809,2.2558541
1202,Get Hard,9,-2.5707135,1.467594
1203,Bram Stoker's Dracula,6,-6.030298,-12.806258
1204,Julie & Julia,10,14.626691,3.1150718
1205,42,10,13.839388,0.119427316
1206,The Talented Mr. Ripley,7,8.86311,-10.30755
1207,Dumb and Dumber To,8,-5.372008,4.7991457
1208,Eight Below,14,3.5572236,1.9969724
1209,The Intern,12,1.8129891,6.7926555
1210,Ride Along 2,9,-5.7980623,0.634368
1211,The Last of the Mohicans,4,1.3597468,-0.93209213
1212,Ray,10,12.102407,-1.1764519
1213,Sin City,13,-1.6145916,-9.439077
1214,Vantage Point,1,5.8214083,-12.727388
1215,"I Love You, Man",0,-1.7123976,13.689407
1216,Shallow Hal,11,7.607896,10.808014
1217,JFK,4,6.481182,-4.7171364
1218,Big Momma's House 2,9,-2.3520844,0.19335133
1219,The Mexican,0,-3.632935,10.006138
1221,17 Again,11,5.4465513,10.434914
1222,The Other Woman,0,-5.335239,12.798869
1223,The Final Destination,6,-7.0613103,-13.866603
1224,Bridge of Spies,4,6.2455387,-4.78534
1225,Behind Enemy Lines,4,2.572646,-3.7916863
1227,Shall We Dance,11,8.152164,11.867834
1228,Small Soldiers,3,-13.972397,-2.792101
1229,Spawn,6,-7.6917896,-12.342242
1230,The Count of Monte Cristo,4,-0.071966976,-2.676168
1231,The Lincoln Lawyer,7,9.795364,-10.8654375
1232,Unknown,13,-5.8296113,-7.441915
1233,The Prestige,1,4.1819158,-8.814492
1234,Horrible Bosses 2,9,-2.5710938,1.4677495
1235,Escape from Planet Earth,5,-13.465042,4.6183844
1236,Apocalypto,4,-0.06476991,-3.507408
1238,Predators,3,-10.791521,-7.5591874
1240,Secret Window,1,-0.0373888,-14.648135
1241,The Lake House,2,9.940715,9.632427
1242,The Skeleton Key,6,-2.2191582,-14.567469
1243,The Odd Life of Timothy Green,12,-1.5301301,7.8629084
1244,Made of Honor,0,-1.3214526,15.103317
1245,Jersey Boys,10,11.975704,-1.0329292
1246,The Rainmaker,7,9.874422,-10.923775
1247,Gothika,6,-2.029989,-14.117277
1248,Amistad,14,9.214445,-1.0750836
1249,Medicine Man,2,10.665914,7.3141904
1250,Aliens vs. Predator: Requiem,6,-8.97706,-9.615201
1251,Ri¢hie Ri¢h,8,-9.244637,7.6992545
1252,Autumn in New York,2,11.314302,5.9438944
